counter,timestamp,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,crc
3375,54,45354,45351,45368,45361,45358,45358,56,52,3018
3363,54,45355,45350,45368,45363,45358,45357,56,52,0
1,2101146,45355,45352,45367,45362,45358,45357,55,51,21196
2,77,45356,45351,45368,45360,45358,45358,55,51,38890
3,70,45356,45352,45369,45362,45358,45358,57,51,38467
4,70,45356,45352,45367,45362,45359,45357,56,50,63741
5,69,45356,45351,45368,45362,45359,45357,55,51,49661
6,70,45355,45351,45368,45361,45359,45357,56,52,5358
7,70,45355,45350,45367,45362,45358,45357,57,50,52116
8,70,45354,45351,45368,45362,45357,45358,57,52,51315
9,69,45356,45351,45369,45362,45358,45357,56,50,30038
10,70,45356,45351,45368,45362,45359,45357,55,52,714
11,70,45355,45352,45367,45364,45358,45357,56,51,18926
12,69,45355,45352,45368,45362,45358,45357,56,51,23496
13,70,45355,45351,45370,45362,45358,45356,55,52,49191
14,70,45355,45351,45368,45362,45357,45358,56,52,7032
15,76,45355,45351,45368,45362,45357,45356,55,52,54207
16,69,45354,45350,45368,45363,45358,45356,56,52,35596
17,70,45355,45351,45369,45362,45358,45357,56,52,43897
18,70,45354,45351,45369,45362,45359,45356,56,51,59806
19,70,45355,45352,45368,45362,45358,45358,57,51,62001
20,69,45355,45351,45368,45362,45357,45357,56,52,3759
21,70,45355,45351,45368,45363,45359,45357,57,52,18535
22,70,45355,45352,45369,45362,45358,45357,56,51,48866
23,69,45355,45352,45368,45363,45359,45357,56,51,53910
24,70,45354,45351,45369,45363,45358,45357,56,51,45393
25,70,45356,45352,45368,45363,45357,45358,57,51,36924
26,70,45355,45351,45369,45362,45358,45357,56,52,48762
27,69,45355,45351,45369,45362,45358,45357,56,51,10337
28,70,45355,45351,45368,45362,45359,45358,55,52,10638
29,75,45355,45350,45369,45363,45359,45357,55,53,50259
30,70,45355,45352,45369,45362,45358,45356,57,51,30981
31,69,45354,45352,45369,45362,45357,45357,56,51,30621
32,70,45354,45351,45368,45363,45359,45357,56,52,39644
33,70,45355,45351,45368,45362,45358,45357,56,52,38608
34,69,45356,45351,45368,45362,45357,45358,55,52,23153
35,70,45355,45351,45368,45363,45358,45357,56,52,14648
36,70,45354,45351,45369,45361,45357,45356,56,51,32368
37,70,45355,45351,45369,45361,45358,45356,56,50,65197
38,69,45354,45351,45369,45362,45357,45358,55,52,61053
39,70,45354,45351,45369,45363,45357,45357,56,51,39476
40,70,45355,45352,45369,45362,45358,45357,57,51,59803
41,69,45353,45351,45369,45363,45358,45356,56,52,63839
42,70,45355,45351,45369,45363,45357,45358,56,52,41791
43,76,45355,45352,45368,45361,45358,45357,56,51,36331
44,70,45355,45352,45368,45363,45358,45357,56,51,50756
45,69,45355,45351,45369,45361,45358,45357,57,51,39439
46,70,45355,45351,45367,45361,45357,45357,56,52,22533
47,70,45355,45351,45369,45361,45357,45357,57,50,18099
48,70,45355,45352,45369,45361,45358,45357,56,52,21826
49,69,45356,45351,45369,45362,45359,45357,55,51,10534
50,70,45356,45351,45369,45362,45358,45356,54,51,1095
51,70,45356,45350,45368,45362,45357,45357,55,52,39845
52,69,45354,45350,45368,45362,45357,45358,56,51,14325
53,70,45355,45351,45369,45361,45358,45356,57,51,1888
54,70,45354,45352,45368,45362,45358,45356,56,52,26436
