counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
20651,865,32776,32769,32664,32779,32779,32782,28098,288
20652,866,32777,32792,32750,32778,32780,32782,28099,288
20653,863,32777,32795,32711,32779,32780,32783,28098,288
20654,866,32775,32825,32658,32780,32780,32783,28098,287
20655,866,32776,32796,32726,32780,32779,32784,28097,293
20656,866,32777,32811,32699,32779,32781,32784,28093,288
20657,866,32777,32821,32660,32778,32781,32782,28095,287
20658,864,32777,32837,32743,32779,32780,32784,28098,288
20659,871,32777,32852,32729,32778,32781,32781,28099,288
20660,865,32777,32845,32671,32778,32781,32783,28100,288
20661,866,32776,32847,32727,32779,32780,32783,28099,288
20662,866,32776,32804,32715,32781,32780,32784,28099,295
20663,865,32777,32802,32658,32779,32781,32783,28095,287
20664,866,32776,32833,32714,32778,32781,32781,28091,286
20665,866,32776,32782,32724,32777,32782,32782,28098,294
20666,866,32777,32795,32663,32778,32781,32783,28097,284
20667,865,32777,32744,32672,32779,32782,32782,28103,289
20668,866,32777,32757,32718,32778,32781,32782,28095,291
20669,866,32777,32745,32666,32779,32782,32782,28096,293
20670,863,32777,32806,32694,32779,32781,32783,28098,287
20671,868,32777,32813,32742,32777,32781,32781,28099,287
20672,865,32776,32826,32697,32779,32780,32782,28100,288
20673,866,32775,32811,32661,32780,32780,32784,28103,284
20674,871,32776,32795,32725,32781,32780,32784,28096,283
20675,865,32776,32798,32691,32779,32780,32784,28095,292
20676,869,32775,32825,32673,32778,32781,32781,28099,288
20677,863,32776,32803,32732,32781,32781,32782,28096,299
20678,866,32776,32800,32698,32780,32780,32784,28095,286
20679,865,32775,32829,32667,32780,32781,32782,28097,288
20680,862,32777,32809,32761,32777,32781,32783,28100,287
20681,865,32777,32803,32725,32778,32781,32783,28099,288
20682,866,32776,32800,32677,32779,32779,32783,28099,289
20683,864,32776,32787,32754,32779,32781,32782,28100,288
20684,866,32776,32778,32730,32779,32781,32782,28099,288
20685,866,32776,32791,32667,32778,32781,32782,28100,287
20686,866,32777,32796,32764,32779,32779,32782,28099,288
20687,866,32777,32810,32728,32779,32780,32783,28099,287
20688,865,32776,32818,32678,32780,32781,32782,28097,288
20689,868,32777,32825,32759,32779,32780,32782,28099,287
20690,865,32776,32808,32720,32779,32781,32782,28095,291
20691,866,32776,32794,32654,32779,32780,32783,28098,283
20692,866,32777,32807,32720,32778,32782,32782,28098,293
