SoC,R0,R1,R2,C1,C2,Tau1,Tau2,A1,A2
0.0,0.04306351501128628,0.017058769022186546,0.02302429889711014,4020.6249839487878,22334.138949999982,68.58691292601486,514.2278907943893,0.4567724004150999,0.474575450300334
0.001,0.04306235830206967,0.017058738654307817,0.023022925831786042,4020.5517378950763,22336.088139864176,68.5855413428752,514.2421006163288,0.4567641731952088,0.47455632006931003
0.002,0.04306120169971231,0.01705870826906183,0.023021552843739253,4020.478500951955,22338.037405660085,68.58416984977443,514.2563085598277,0.45675594629606886,0.4745371906041964
0.003,0.04306004520420953,0.01705867786644991,0.023020179932967295,4020.40527311872,22339.98674738823,68.58279844670881,514.2705146249818,0.4567477197176757,0.4745180619049796
0.004,0.0430588888155566,0.01705864744647337,0.02301880709946766,4020.332054394664,22341.936165049156,68.58142713367457,514.2847188118867,0.45673949346002446,0.4744989339716452
0.005,0.04305773253374879,0.017058617009133525,0.023017434343237816,4020.258844779083,22343.88565864342,68.58005591066797,514.2989211206379,0.45673126752311033,0.47447980680417934
0.006,0.04305657635878141,0.0170585865544317,0.023016061664275285,4020.18564427127,22345.835228171534,68.57868477768523,514.313121551331,0.45672304190692875,0.4744606804025684
0.007,0.043055420290649724,0.017058556082369204,0.023014689062577552,4020.112452870521,22347.784873634057,68.57731373472261,514.3273201040618,0.4567148166114749,0.47444155476679817
0.008,0.043054264329349036,0.017058525592947363,0.0230133165381421,4020.039270576129,22349.734595031547,68.57594278177635,514.3415167789261,0.4567065916367438,0.4744224298968547
0.009,0.04305310847487463,0.017058495086167483,0.023011944090966435,4019.9660973873906,22351.68439236452,68.57457191884268,514.3557115760194,0.45669836698273103,0.47440330579272405
0.01,0.043051952727221794,0.01705846456203089,0.023010571721048055,4019.892933303601,22353.634265633504,68.57320114591788,514.3699044954371,0.45669014264943175,0.4743841824543924
0.011,0.04305079708638581,0.017058434020538905,0.023009199428384437,4019.8197783240516,22355.58421483907,68.57183046299816,514.3840955372752,0.45668191863684104,0.47436505988184563
