SoC,R0,R1,R2,C1,C2,A1,A2
0.0,0.04396576538795048,0.0130289449075459,0.008266383851602298,3955.531220413998,56319.458379103926,0.3518982284289853,0.18719412958444087
0.001,0.0439658858913438,0.01302902086378761,0.00826649594502554,3955.507299822881,56318.49588178733,0.35190013038106044,0.18719588038029383
0.002,0.043966006375148296,0.01302909682824916,0.008266608035538796,3955.4833776520504,56317.53344238432,0.3519020324176525,0.18719763124545558
0.003,0.043966126839363656,0.013029172800930213,0.008266720123141356,3955.4594539016457,56316.571060895905,0.35190393453875657,0.18719938217991178
0.004,0.04396624728398952,0.013029248781830496,0.008266832207832517,3955.435528571785,56315.60873732302,0.3519058367443679,0.18720113318364856
0.005,0.04396636770902555,0.013029324770949695,0.008266944289611562,3955.4116016625994,56314.646471666674,0.3519077390344817,0.1872028842566517
0.006,0.043966488114471416,0.013029400768287503,0.008267056368477792,3955.387673174218,56313.6842639278,0.35190964140909314,0.18720463539890714
0.007,0.043966608500326784,0.01302947677384362,0.008267168444430494,3955.3637431067673,56312.722114107375,0.3519115438681974,0.18720638661040062
0.008,0.04396672886659128,0.013029552787617759,0.008267280517468955,3955.33981146037,56311.760022206414,0.35191344641178973,0.1872081378911183
0.009000000000000001,0.04396684921326462,0.013029628809609596,0.008267392587592473,3955.3158782351607,56310.79798822586,0.35191534903986527,0.18720988924104548
0.01,0.04396696954034643,0.013029704839818839,0.008267504654800337,3955.2919434312635,56309.836012166685,0.35191725175241917,0.18721164066016865
0.011,0.04396708984783639,0.013029780878245172,0.008267616719091847,3955.2680070488104,56308.8740940298,0.3519191545494468,0.1872133921484735
0.012,0.043967210135734146,0.013029856924888329,0.008267728780466277,3955.2440690879175,56307.912233816314,0.3519210574309431,0.18721514370594566
0.013000000000000001,0.043967330404039384,0.013029932979747964,0.008267840838922937,3955.2201295487253,56306.95043152706,0.3519229603969034,0.1872168953325712
0.014,0.04396745065275173,0.013030009042823788,0.008267952894461111,3955.1961884313587,56305.98868716305,0.35192486344732293,0.18721864702833596
0.015,0.04396757088187086,0.01303008511411553,0.00826806494708008,3955.172245735934,56305.02700072535,0.3519267665821968,0.18722039879322577
0.016,0.04396769109139648,0.013030161193622845,0.008268176996779154,3955.148301462593,56304.06537221479,0.35192866980152027,0.18722215062722664
0.017,0.04396781128132819,0.01303023728134545,0.008268289043557617,3955.124355611456,56303.10380163239,0.3519305731052884,0.18722390253032445
0.018000000000000002,0.043967931451665665,0.013030313377283047,0.008268401087414765,3955.100408182651,56302.1422889791,0.35193247649349657,0.1872256545025049
0.019,0.04396805160240861,0.013030389481435315,0.008268513128349884,3955.0764591763095,56301.18083425591,0.35193437996613974,0.18722740654375386
0.02,0.04396817173355663,0.013030465593801974,0.00826862516636227,3955.052508592553,56300.21943746379,0.3519362835232134,0.18722915865405726
0.021,0.04396829184510942,0.013030541714382709,0.008268737201451205,3955.0285564315136,56299.258098603736,0.3519381871647125,0.1872309108334012
0.022,0.04396841193706667,0.013030617843177217,0.008268849233616,3955.0046026933173,56298.2968176766,0.3519400908906323,0.1872326630817714
0.023,0.04396853200942799,0.013030693980185186,0.008268961262855933,3954.980647378096,56297.33559468345,0.351941994700968,0.18723441539915336
0.024,0.04396865206219307,0.013030770125406339,0.0082690732891703,3954.9566904859694,56296.37442962522,0.35194389859571473,0.18723616778553348
0.025,0.043968772095361555,0.013030846278840352,0.008269185312558394,3954.9327320170705,56295.41332250287,0.3519458025748678,0.18723792024089742
0.026000000000000002,0.04396889210893314,0.013030922440486929,0.00826929733301951,3954.9087719715267,56294.452273317336,0.35194770663842234,0.18723967276523096
0.027,0.04396901210290747,0.013030998610345769,0.008269409350552932,3954.8848103494643,56293.49128206964,0.35194961078637355,0.18724142535852023
0.028,0.043969132077284194,0.013031074788416568,0.008269521365157958,3954.8608471510106,56292.530348760716,0.3519515150187166,0.18724317802075102
0.029,0.043969252032063005,0.013031150974699025,0.008269633376833879,3954.8368823762944,56291.569473391515,0.35195341933544666,0.1872449307519089
0.03,0.043969371967243556,0.013031227169192822,0.00826974538557999,3954.812916025446,56290.608655963,0.35195532373655897,0.18724668355198
0.031,0.04396949188282551,0.013031303371897673,0.008269857391395581,3954.7889480985896,56289.64789647613,0.35195722822204867,0.1872484364209503
0.032,0.043969611778808496,0.013031379582813276,0.008269969394279944,3954.7649785958515,56288.68719493188,0.35195913279191104,0.1872501893588056
0.033,0.04396973165519223,0.013031455801939328,0.008270081394232374,3954.7410075173607,56287.7265513312,0.35196103744614127,0.1872519423655316
0.034,0.04396985151197638,0.013031532029275504,0.008270193391252161,3954.717034863251,56286.76596567505,0.3519629421847344,0.1872536954411143
0.035,0.04396997134916056,0.013031608264821512,0.0082703053853386,3954.693060633647,56285.80543796437,0.3519648470076857,0.1872554485855395
0.036000000000000004,0.04397009116674445,0.013031684508577071,0.008270417376490983,3954.6690848286685,56284.844968200145,0.3519667519149905,0.18725720179879318
0.037,0.04397021096472774,0.013031760760541859,0.008270529364708599,3954.645107448451,56283.88455638334,0.3519686569066438,0.18725895508086116
0.038,0.04397033074311009,0.013031837020715573,0.008270641349990743,3954.6211284931214,56282.92420251489,0.3519705619826409,0.18726070843172954
0.039,0.043970450501891134,0.013031913289097901,0.008270753332336716,3954.5971479628097,56281.96390659571,0.3519724671429769,0.18726246185138357
0.04,0.04397057024107055,0.013031989565688566,0.008270865311745795,3954.573165857637,56281.00366862686,0.35197437238764706,0.18726421533981003
0.041,0.04397068996064801,0.013032065850487242,0.008270977288217279,3954.549182177737,56280.04348860925,0.3519762777166466,0.18726596889699382
0.042,0.043970809660623195,0.013032142143493634,0.008271089261750467,3954.5251969232354,56279.08336654379,0.3519781831299706,0.1872677225229215
0.043000000000000003,0.04397092934099577,0.013032218444707429,0.00827120123234465,3954.5012100942636,56278.12330243146,0.3519800886276143,0.18726947621757878
0.044,0.04397104900176536,0.013032294754128329,0.008271313199999117,3954.4772216909464,56277.163296273226,0.351981994209573,0.1872712299809513
0.045,0.04397116864293166,0.01303237107175604,0.008271425164713162,3954.45323171341,56276.203348070034,0.3519838998758418,0.1872729838130252
0.046,0.04397128826449431,0.013032447397590251,0.008271537126486078,3954.4292401617836,56275.24345782286,0.3519858056264158,0.18727473771378628
0.047,0.04397140786645301,0.013032523731630663,0.008271649085317159,3954.4052470361953,56274.28362553262,0.3519877114612904,0.1872764916832202
0.048,0.043971527448807404,0.013032600073876962,0.008271761041205698,3954.3812523367756,56273.32385120028,0.3519896173804606,0.1872782457213134
0.049,0.04397164701155716,0.013032676424328857,0.00827187299415099,3954.357256063648,56272.36413482678,0.35199152338392165,0.18727999982805127
0.05,0.043971766554701947,0.013032752782986035,0.008271984944152322,3954.3332582169437,56271.40447641312,0.3519934294716688,0.18728175400341956
0.051000000000000004,0.04397188607824142,0.013032829149848196,0.008272096891208992,3954.30925879679,56270.444875960195,0.3519953356436971,0.18728350824740453
0.052000000000000005,0.043972005582175254,0.01303290552491504,0.008272208835320295,3954.2852578033135,56269.485333468954,0.351997241900002,0.18728526255999184
0.053,0.0439721250665031,0.013032981908186261,0.008272320776485518,3954.261255236642,56268.52584894041,0.35199914824057843,0.18728701694116762
0.054,0.04397224453122467,0.013033058299661546,0.008272432714703955,3954.237251096908,56267.56642237547,0.3520010546654217,0.18728877139091743
0.055,0.04397236397633958,0.013033134699340612,0.00827254464997491,3954.2132453842314,56266.60705377504,0.35200296117452695,0.1872905259092274
0.056,0.04397248340184752,0.013033211107223122,0.008272656582297665,3954.1892380987524,56265.647743140136,0.3520048677678894,0.18729228049608299
0.057,0.04397260280774812,0.013033287523308814,0.008272768511671517,3954.1652292405843,56264.68849047167,0.3520067744455043,0.18729403515147053
0.058,0.043972722194041095,0.013033363947597347,0.008272880438095757,3954.141218809868,56263.729295770616,0.3520086812073668,0.1872957898753757
0.059000000000000004,0.04397284156072612,0.01303344038008845,0.008272992361569684,3954.1172068067203,56262.77015903789,0.352010588053472,0.18729754466778442
0.06,0.04397296090780281,0.013033516820781781,0.008273104282092592,3954.0931932312824,56261.81108027442,0.35201249498381526,0.18729929952868246
0.061,0.043973080235270856,0.013033593269677061,0.008273216199663761,3954.0691780836733,56260.85205948125,0.35201440199839157,0.18730105445805562
0.062,0.04397319954312992,0.013033669726773993,0.0082733281142825,3954.04516136402,56259.89309665922,0.3520163090971963,0.18730280945589012
0.063,0.04397331883137967,0.013033746192072246,0.008273440025948098,3954.0211430724576,56258.93419180931,0.35201821628022456,0.18730456452217153
0.064,0.04397343810001979,0.01303382266557154,0.00827355193465985,3953.997123209108,56257.97534493244,0.3520201235474715,0.18730631965688588
0.065,0.04397355734904991,0.013033899147271572,0.008273663840417042,3953.973101774099,56257.01655602963,0.3520220308989324,0.18730807486001894
0.066,0.04397367657846974,0.013033975637172023,0.008273775743218977,3953.9490787675627,56256.05782510174,0.35202393833460244,0.18730983013155672
0.067,0.043973795788278904,0.013034052135272582,0.008273887643064942,3953.92505418963,56255.09915214976,0.3520258458544767,0.1873115854714848
