counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
117,938,32733,32800,32761,32763,32764,32767,55851,0
118,944,32749,32811,32760,32762,32764,32767,55852,0
119,938,32705,32801,32760,32762,32766,32767,55851,1
120,938,32758,32782,32761,32762,32763,32767,55851,0
121,943,32728,32806,32759,32762,32765,32766,55851,0
122,938,32785,32815,32760,32762,32765,32767,55851,0
123,938,32725,32793,32760,32762,32765,32766,55851,0
124,939,32762,32781,32759,32762,32765,32767,55851,1
125,938,32741,32809,32760,32762,32765,32767,55850,1
126,942,32782,32808,32759,32763,32764,32766,55851,0
127,939,32761,32781,32761,32763,32764,32767,55851,0
128,938,32772,32807,32760,32762,32765,32766,55851,0
129,938,32773,32825,32760,32762,32765,32767,55851,1
130,938,32773,32802,32761,32763,32765,32767,55852,1
131,942,32760,32784,32760,32761,32764,32765,55850,0
132,939,32758,32811,32761,32762,32765,32767,55851,1
133,938,32765,32828,32759,32763,32764,32766,55851,0
134,938,32757,32793,32760,32763,32764,32766,55851,1
135,944,32766,32786,32761,32762,32764,32766,55852,0
136,942,32722,32826,32761,32763,32765,32765,55851,0
137,938,32779,32825,32760,32762,32765,32765,55851,0
138,938,32716,32799,32760,32762,32764,32766,55850,0
139,939,32778,32784,32760,32763,32764,32767,55852,1
140,938,32721,32819,32761,32763,32764,32767,55850,0
141,942,32784,32806,32760,32764,32764,32766,55850,0
142,938,32731,32788,32760,32763,32764,32767,55851,0
143,939,32764,32799,32760,32762,32765,32767,55850,0
144,938,32738,32814,32760,32762,32765,32766,55851,0
145,938,32776,32803,32761,32763,32765,32766,55851,0
146,943,32742,32785,32759,32762,32765,32767,55850,0
147,938,32768,32805,32761,32763,32764,32767,55850,0
148,938,32749,32819,32760,32763,32763,32766,55850,0
149,938,32758,32796,32761,32763,32764,32766,55850,1
150,939,32761,32811,32760,32763,32765,32766,55851,0
151,948,32735,32815,32760,32763,32765,32766,55850,0
152,943,32767,32822,32760,32762,32764,32767,55850,0
153,938,32715,32783,32759,32762,32765,32767,55850,1
154,939,32751,32791,32759,32762,32764,32766,55851,1
155,938,32714,32819,32760,32763,32764,32766,55851,0
156,942,32751,32827,32760,32762,32763,32766,55850,0
157,939,32699,32789,32760,32762,32765,32767,55850,0
158,938,32762,32790,32761,32762,32764,32766,55851,0
159,938,32719,32809,32760,32762,32765,32765,55852,0
160,938,32774,32821,32761,32762,32764,32767,55850,0
161,942,32726,32794,32761,32762,32764,32765,55851,0
162,938,32753,32803,32761,32763,32764,32766,55850,0
163,939,32735,32819,32760,32762,32765,32767,55851,0
164,938,32761,32786,32760,32762,32766,32767,55850,1
165,938,32719,32788,32760,32762,32764,32767,55851,0
166,942,32746,32811,32760,32762,32765,32767,55852,0
167,939,32741,32822,32761,32761,32765,32766,55851,0
168,948,32736,32785,32760,32763,32764,32766,55850,0
169,943,32763,32780,32761,32762,32765,32766,55851,0
170,938,32714,32806,32760,32764,32765,32767,55851,0
171,943,32767,32812,32761,32762,32764,32766,55851,0
172,938,32724,32810,32761,32762,32765,32767,55851,0
173,938,32755,32782,32761,32763,32765,32766,55849,0
174,938,32722,32809,32760,32763,32765,32767,55852,1
175,939,32759,32823,32760,32763,32764,32766,55851,1
176,942,32732,32788,32760,32764,32765,32767,55850,2
177,938,32755,32767,32760,32762,32764,32767,55852,0
178,939,32734,32815,32760,32763,32764,32767,55852,1
179,938,32756,32820,32761,32764,32765,32766,55851,0
180,938,32744,32768,32760,32763,32763,32767,55851,0
181,942,32745,32779,32761,32762,32765,32767,55852,0
182,939,32723,32810,32760,32762,32765,32766,55850,5
183,938,32751,32807,32760,32763,32765,32766,55850,1
184,938,32737,32778,32760,32762,32765,32767,55852,0
185,938,32737,32794,32760,32763,32765,32765,55851,0
186,942,32764,32812,32760,32762,32763,32766,55850,0
187,938,32716,32780,32761,32763,32764,32766,55850,0
188,938,32761,32793,32760,32762,32765,32766,55848,0
189,939,32718,32808,32760,32762,32764,32766,55850,0
190,938,32762,32796,32760,32763,32765,32766,55850,0
191,942,32705,32782,32761,32762,32765,32766,55849,1
192,939,32757,32787,32760,32762,32765,32766,55851,1
193,938,32706,32820,32760,32762,32764,32767,55850,0
194,938,32752,32816,32760,32763,32765,32767,55852,0
195,938,32708,32767,32761,32762,32765,32767,55852,0
196,943,32745,32806,32760,32763,32764,32767,55851,1
197,938,32736,32811,32761,32762,32765,32766,55851,0
198,938,32777,32792,32759,32763,32765,32766,55850,0
199,938,32735,32799,32759,32762,32765,32766,55851,0
200,939,32742,32818,32760,32763,32764,32766,55852,1
201,947,32727,32811,32760,32763,32765,32767,55850,1
202,943,32733,32807,32760,32762,32765,32766,55850,1
203,938,32746,32787,32760,32762,32765,32766,55850,0
204,938,32712,32801,32760,32763,32763,32767,55850,0
205,939,32756,32820,32759,32763,32765,32767,55851,0
206,942,32708,32797,32760,32761,32766,32766,55850,0
207,938,32768,32793,32759,32762,32765,32767,55851,0
208,939,32720,32817,32760,32763,32765,32765,55851,1
209,938,32751,32826,32761,32763,32765,32766,55852,0
210,938,32683,32774,32760,32763,32765,32768,55851,0
211,942,32744,32801,32760,32762,32764,32766,55853,1
212,938,32703,32804,32760,32763,32764,32766,55851,0
213,938,32761,32804,32760,32762,32765,32767,55850,0
214,939,32694,32787,32761,32762,32764,32766,55851,0
215,938,32759,32808,32760,32763,32765,32767,55851,0
216,942,32737,32802,32760,32763,32765,32766,55851,1
217,938,32764,32783,32760,32763,32764,32767,55850,0
218,938,32732,32795,32761,32763,32765,32767,55851,0
219,938,32754,32815,32760,32763,32765,32766,55851,0
220,939,32725,32817,32760,32763,32765,32766,55851,0
221,942,32739,32764,32760,32763,32765,32767,55851,0
222,938,32727,32828,32760,32764,32765,32767,55851,0
223,939,32737,32810,32759,32762,32764,32766,55852,0
224,938,32748,32815,32760,32763,32765,32766,55848,1
225,938,32727,32762,32761,32762,32765,32766,55851,0
226,942,32745,32817,32759,32762,32765,32766,55851,0
227,939,32720,32811,32760,32763,32763,32766,55851,0
228,938,32747,32778,32760,32763,32765,32767,55850,4
229,938,32702,32779,32761,32763,32765,32767,55851,0
230,938,32763,32804,32760,32763,32764,32766,55850,0
231,943,32710,32795,32761,32762,32765,32768,55851,0
232,938,32747,32785,32760,32762,32764,32767,55852,0
233,938,32698,32801,32760,32762,32765,32767,55851,0
234,944,32747,32819,32760,32762,32763,32767,55852,2
235,938,32693,32811,32759,32762,32765,32766,55851,0
236,942,32767,32779,32761,32762,32765,32766,55851,1
237,938,32716,32813,32760,32763,32765,32766,55850,0
238,939,32756,32824,32760,32763,32765,32767,55851,0
239,938,32736,32805,32760,32763,32764,32766,55851,0
240,938,32754,32798,32761,32762,32765,32767,55851,0
241,942,32744,32833,32761,32762,32765,32766,55851,0
242,938,32744,32823,32760,32762,32764,32767,55851,0
243,938,32744,32792,32760,32762,32765,32766,55851,0
244,939,32736,32784,32760,32764,32765,32765,55853,0
245,938,32739,32824,32761,32762,32764,32767,55852,0
246,942,32734,32798,32761,32764,32764,32766,55854,0
247,939,32745,32787,32760,32763,32764,32766,55851,0
248,938,32728,32805,32761,32763,32764,32766,55850,0
249,938,32764,32814,32760,32763,32764,32767,55851,0
250,938,32711,32782,32760,32762,32765,32767,55851,0
251,942,32741,32786,32760,32762,32765,32767,55850,0
252,938,32698,32811,32760,32763,32765,32766,55851,0
253,939,32758,32796,32760,32763,32765,32767,55850,0
254,938,32717,32769,32760,32764,32765,32766,55850,2
255,938,32751,32806,32761,32763,32764,32767,55851,1
256,943,32721,32827,32760,32763,32764,32767,55852,0
257,938,32760,32816,32760,32762,32764,32766,55851,1
258,938,32712,32787,32760,32763,32765,32766,55851,1
259,938,32754,32826,32760,32763,32766,32766,55851,0
260,939,32728,32802,32761,32762,32765,32767,55851,1
261,942,32752,32800,32761,32763,32765,32766,55851,0
262,938,32715,32773,32760,32762,32764,32766,55852,1
263,939,32766,32810,32760,32763,32764,32766,55851,0
264,938,32728,32823,32761,32762,32764,32766,55851,0
265,938,32738,32783,32759,32762,32764,32766,55851,1
266,942,32716,32788,32760,32763,32765,32766,55850,0
267,942,32749,32816,32760,32763,32765,32767,55851,0
268,938,32766,32820,32761,32763,32764,32765,55852,0
269,938,32724,32775,32761,32762,32765,32767,55851,2
270,938,32758,32799,32759,32763,32764,32766,55852,0
271,943,32716,32802,32761,32762,32764,32767,55851,0
272,938,32756,32799,32760,32762,32765,32766,55851,0
273,938,32695,32762,32760,32763,32764,32767,55851,1
274,938,32751,32821,32761,32762,32765,32766,55848,0
275,939,32709,32832,32759,32763,32764,32766,55852,2
276,942,32742,32801,32761,32764,32764,32767,55850,0
277,938,32699,32794,32761,32763,32765,32767,55852,0
278,939,32757,32823,32760,32763,32764,32766,55852,0
279,938,32715,32813,32759,32762,32765,32765,55851,0
280,938,32749,32777,32760,32763,32765,32766,55852,0
281,943,32731,32804,32761,32762,32765,32768,55851,7
282,938,32762,32817,32760,32763,32765,32766,55851,1
283,944,32741,32832,32760,32763,32764,32765,55851,0
284,943,32727,32794,32760,32761,32765,32767,55851,0
285,938,32745,32794,32760,32763,32765,32767,55849,0
286,943,32715,32810,32760,32762,32765,32765,55851,0
287,938,32742,32815,32761,32763,32765,32766,55851,0
288,938,32719,32774,32760,32762,32765,32766,55852,0
289,939,32750,32813,32759,32763,32765,32766,55852,0
290,938,32711,32818,32760,32763,32765,32766,55851,0
291,942,32751,32796,32759,32763,32765,32765,55851,0
292,938,32700,32772,32761,32762,32765,32766,55851,0
293,939,32746,32810,32760,32762,32765,32766,55852,1
294,938,32694,32805,32761,32761,32765,32766,55850,0
295,938,32735,32807,32760,32762,32764,32767,55851,1
296,943,32701,32784,32760,32762,32764,32767,55854,0
297,938,32745,32814,32760,32764,32765,32766,55851,0
298,938,32717,32812,32760,32762,32765,32767,55851,0
299,938,32753,32792,32760,32762,32765,32767,55851,0
300,944,32728,32803,32759,32762,32765,32765,55851,0
301,942,32730,32825,32760,32762,32765,32766,55851,1
302,938,32737,32819,32760,32762,32764,32767,55852,0
303,939,32727,32790,32761,32762,32765,32767,55853,0
304,938,32735,32818,32760,32763,32765,32766,55851,0
305,938,32724,32812,32760,32763,32764,32767,55851,0
306,943,32759,32815,32760,32762,32764,32766,55852,0
307,938,32708,32781,32760,32762,32764,32766,55852,0
308,938,32757,32825,32761,32761,32765,32766,55851,0
309,938,32714,32802,32760,32763,32765,32765,55851,1
310,939,32761,32791,32760,32763,32764,32766,55851,0
311,942,32711,32775,32761,32762,32763,32767,55852,0
312,938,32752,32807,32760,32761,32765,32766,55851,0
313,939,32698,32793,32760,32763,32765,32766,55851,0
314,938,32750,32779,32761,32763,32765,32767,55851,0
315,938,32720,32795,32761,32762,32766,32766,55851,0
316,943,32753,32815,32760,32762,32765,32765,55851,0
317,943,32718,32801,32761,32763,32765,32767,55850,0
318,938,32737,32778,32760,32762,32765,32766,55850,0
319,939,32722,32784,32760,32763,32765,32767,55852,0
320,938,32749,32808,32760,32762,32765,32767,55851,1
321,942,32739,32798,32760,32762,32765,32766,55852,1
322,938,32726,32751,32760,32762,32765,32767,55852,0
323,938,32744,32820,32761,32762,32764,32766,55851,0
324,938,32735,32804,32760,32763,32765,32766,55852,1
325,939,32743,32789,32759,32765,32764,32766,55851,0
326,942,32701,32762,32760,32762,32763,32767,55853,0
327,938,32765,32815,32759,32763,32765,32766,55852,0
328,939,32711,32807,32759,32763,32765,32767,55850,0
329,938,32758,32774,32759,32763,32764,32767,55852,0
330,938,32714,32795,32761,32762,32765,32767,55851,0
331,943,32762,32840,32760,32762,32766,32767,55852,0
332,938,32699,32808,32760,32762,32765,32767,55849,0
333,943,32747,32779,32760,32762,32764,32767,55852,0
334,943,32732,32811,32760,32761,32764,32767,55851,1
335,938,32758,32820,32760,32763,32765,32767,55851,2
336,943,32739,32815,32761,32762,32765,32766,55851,0
337,938,32757,32779,32761,32764,32765,32767,55850,0
338,938,32753,32802,32759,32762,32765,32767,55852,0
339,938,32747,32801,32760,32762,32765,32766,55850,0
340,939,32741,32781,32760,32762,32764,32765,55850,0
341,942,32708,32767,32760,32763,32765,32766,55851,1
342,938,32750,32816,32761,32764,32765,32766,55850,0
343,939,32714,32795,32760,32762,32765,32767,55850,0
344,938,32754,32787,32760,32763,32764,32766,55851,0
345,938,32714,32792,32759,32762,32764,32766,55851,1
346,943,32761,32814,32760,32762,32765,32766,55851,0
347,938,32709,32799,32761,32762,32765,32765,55851,0
348,938,32768,32779,32761,32764,32764,32766,55850,0
349,938,32704,32809,32759,32762,32764,32767,55852,0
350,938,32757,32811,32760,32763,32765,32766,55850,0
351,942,32702,32791,32761,32763,32765,32767,55850,0
352,939,32741,32765,32761,32762,32764,32767,55853,0
353,938,32700,32798,32760,32762,32765,32767,55851,0
354,938,32767,32819,32759,32764,32765,32767,55852,0
355,938,32716,32781,32760,32762,32765,32767,55851,0
356,943,32739,32785,32761,32762,32765,32767,55851,0
357,938,32741,32819,32760,32763,32765,32767,55852,1
358,938,32758,32815,32760,32762,32764,32767,55850,0
359,939,32721,32783,32760,32763,32764,32767,55851,0
360,938,32761,32810,32760,32763,32765,32766,55851,0
361,943,32746,32821,32760,32763,32764,32764,55851,0
362,938,32730,32807,32760,32763,32764,32765,55859,0
363,938,32757,32778,32761,32762,32765,32767,55852,0
364,938,32727,32815,32760,32762,32764,32767,55852,0
365,939,32750,32801,32760,32762,32765,32767,55850,0
366,948,32720,32793,32760,32763,32765,32767,55851,0
367,943,32766,32788,32761,32764,32764,32767,55851,0
368,938,32712,32815,32760,32762,32764,32767,55851,0
369,938,32765,32832,32761,32763,32765,32767,55852,0
370,939,32724,32797,32759,32762,32764,32767,55851,1
371,942,32756,32780,32761,32762,32764,32767,55852,0
372,938,32730,32830,32761,32763,32764,32766,55844,0
373,938,32747,32809,32761,32762,32764,32766,55851,0
374,938,32723,32779,32761,32762,32764,32766,55850,0
375,939,32760,32796,32760,32763,32765,32766,55850,0
376,942,32739,32799,32760,32763,32765,32768,55852,0
377,938,32742,32801,32760,32763,32763,32765,55850,0
378,938,32747,32791,32760,32762,32763,32766,55851,0
379,939,32741,32817,32759,32763,32765,32766,55851,0
380,938,32750,32811,32760,32763,32764,32767,55851,0
381,942,32712,32795,32761,32762,32765,32765,55850,1
382,939,32736,32773,32760,32762,32764,32768,55850,1
383,943,32680,32813,32760,32763,32765,32767,55852,0
384,938,32749,32831,32760,32764,32764,32767,55851,0
385,939,32683,32789,32760,32762,32764,32767,55850,0
386,942,32743,32781,32760,32761,32764,32767,55852,0
387,938,32702,32806,32759,32763,32764,32766,55851,0
388,938,32763,32809,32761,32762,32763,32767,55850,0
389,938,32703,32793,32760,32763,32765,32767,55851,1
