Time Stamp,Voltage,Last Stable Current
2327112,55.49229407,27.14927177
2327143,55.49229407,
2327174,55.50140124,
2327206,55.50140124,
2327401,55.51050842,
2327531,55.51961559,
2327562,55.52189239,
2327594,55.52189239,
2327625,55.52416918,
2327656,55.52416918,
2327688,55.52644598,
2327719,55.52644598,
2327751,55.53099956,
2327782,55.53099956,
2327814,55.53327636,
2327845,55.53555315,
2327876,55.53327636,
2327908,55.53555315,
2327939,55.54010674,
2327971,55.53555315,
2328002,55.53782994,
2328034,55.54010674,
2328065,55.53782994,
2328096,55.54466033,
2328260,55.54466033,
2328388,55.54921391,
2328421,55.55149071,
2328453,55.55149071,
2328484,55.55149071,
2328515,55.55604429,
2328547,55.55604429,
2328578,55.55604429,
2328609,55.55604429,
2328641,55.5537675,
2328672,55.55832109,
2328704,55.56059788,
2328735,55.56059788,
2328767,55.55832109,
2328798,55.55832109,
2328830,55.56287468,
2328861,55.56287468,
2328892,55.56515147,
2328924,55.56515147,
2328955,55.56515147,
2329073,55.56742826,
2329201,55.56970506,
2329233,55.57198185,
2329265,55.57425864,
2329296,55.57198185,
2329327,55.57425864,
2329359,55.57653544,
2329391,55.57653544,
2329422,55.57653544,
2329454,55.57653544,
2329485,55.58108903,
2329516,55.57881223,
2329548,55.57653544,
2329579,55.57653544,
2329610,55.58108903,
2329642,55.57881223,
2329673,55.58108903,
2329705,55.58108903,
2329736,55.57881223,
2329768,55.58108903,
2330003,55.58564261,
2330131,55.5901962,
2330163,55.58791941,
2330195,55.59247299,
2330226,55.59247299,
2330258,55.59247299,
2330289,55.59474979,
2330320,55.5901962,
2330352,55.59702658,
2330383,55.59702658,
2330415,55.59474979,
2330446,55.59474979,
2330478,55.59702658,
2330509,55.59930338,
2330540,55.59702658,
2330572,55.59702658,
2330603,55.59930338,
2330634,55.59702658,
2330666,55.59930338,
2330697,55.60158017,
2330805,55.60385696,
2330936,55.60385696,
2330968,55.60385696,
2330999,55.60613376,
2331031,55.60841055,
2331062,55.61068734,
2331094,55.60841055,
2331125,55.60613376,
2331156,55.60841055,
2331188,55.61068734,
2331219,55.61296414,
2331251,55.61068734,
2331282,55.61068734,
2331314,55.61296414,
2331345,55.61524093,
2331377,55.61296414,
2331408,55.61296414,
2331439,55.61296414,
2331470,55.61524093,
2331502,55.61296414,
2331702,55.61751773,
2331830,55.62207131,
2331861,55.61751773,
2331893,55.61979452,
2331924,55.61979452,
2331956,55.61979452,
2331987,55.62207131,
2332018,55.62207131,
2332050,55.62207131,
2332081,55.62434811,
2332113,55.6266249,
2332144,55.6266249,
2332175,55.62434811,
2332207,55.6266249,
2332238,55.62890169,
2332270,55.6266249,
2332301,55.62890169,
2332333,55.6266249,
2332364,55.62890169,
2332395,55.6266249,
2332548,55.62890169,
2332676,55.63345528,
2332707,55.63345528,
2332739,55.63345528,
2332771,55.63573208,
2332802,55.63573208,
2332834,55.63345528,
2332865,55.63345528,
2332897,55.63800887,
2332928,55.63573208,
2332960,55.63800887,
2332991,55.63800887,
2333023,55.63573208,
2333054,55.63800887,
2333085,55.64028566,
2333116,55.63800887,
2333148,55.63800887,
2333179,55.64028566,
2333211,55.64028566,
2333242,55.64256246,
2333372,55.64256246,
2333500,55.64711604,
2333532,55.64483925,
2333564,55.64483925,
2333595,55.64028566,
2333626,55.64711604,
2333658,55.64711604,
2333689,55.64483925,
2333721,55.64483925,
2333752,55.64483925,
2333784,55.64939284,
2333815,55.65166963,
2333847,55.64939284,
2333878,55.65166963,
2333909,55.64939284,
2333941,55.64939284,
2333972,55.65166963,
2334003,55.65166963,
2334035,55.65166963,
2334066,55.64939284,
2334193,55.65622322,
2334320,55.65622322,
2334353,55.65394643,
2334384,55.65622322,
2334416,55.65394643,
2334447,55.65850001,
2334479,55.65622322,
2334510,55.65850001,
2334541,55.65622322,
2334573,55.66077681,
2334604,55.65622322,
2334635,55.66077681,
2334667,55.65850001,
2334698,55.65850001,
2334730,55.6630536,
2334761,55.6630536,
2334793,55.65850001,
2334824,55.6630536,
2334855,55.6630536,
2334887,55.6630536,
2335013,55.6630536,
2335141,55.66533039,
2335173,55.66760719,
2335205,55.66760719,
2335236,55.66760719,
2335268,55.66988398,
2335299,55.66760719,
2335330,55.66988398,
2335362,55.66760719,
2335393,55.66760719,
2335425,55.66760719,
2335456,55.66760719,
2335487,55.67216078,
2335519,55.66988398,
2335550,55.67216078,
2335582,55.66760719,
2335613,55.67216078,
2335644,55.67443757,
2335676,55.67216078,
2335707,55.66988398,
2335856,55.67671436,
2335987,55.67443757,
2336018,55.67443757,
2336050,55.67671436,
2336081,55.67216078,
2336112,55.67671436,
2336144,55.67899116,
2336175,55.67671436,
2336207,55.67671436,
2336238,55.67899116,
2336269,55.67671436,
2336301,55.67899116,
2336332,55.68126795,
2336364,55.67899116,
2336395,55.68126795,
2336427,55.67899116,
2336458,55.68126795,
2336489,55.68582154,
2336521,55.68354474,
2336552,55.68354474,
2336665,55.68354474,
2336794,55.68582154,
2336826,55.68582154,
2336857,55.68354474,
2336889,55.68809833,
2336920,55.68354474,
2336952,55.68809833,
2336983,55.68809833,
2337015,55.68809833,
2337046,55.68809833,
2337077,55.68582154,
2337108,55.69265192,
2337140,55.68582154,
2337172,55.68809833,
2337203,55.69037513,
2337234,55.69037513,
2337266,55.69037513,
2337297,55.69265192,
2337329,55.68809833,
2337360,55.69037513,
2337481,55.69265192,
2337609,55.69720551,
2337641,55.69037513,
2337673,55.69492871,
2337704,55.69720551,
2337736,55.69720551,
2337767,55.69492871,
2337798,55.69720551,
2337830,55.69265192,
2337862,55.6994823,
2337893,55.6994823,
2337924,55.69720551,
2337956,55.69720551,
2337987,55.6994823,
2338018,55.6994823,
2338050,55.70175909,
2338081,55.6994823,
2338113,55.69720551,
2338144,55.6994823,
2338176,55.6994823,
2338497,55.70403589,
2338626,55.70403589,
2338658,55.70403589,
2338689,55.70631268,
2338720,55.70631268,
2338752,55.70631268,
2338784,55.70631268,
2338815,55.70631268,
2338846,55.70858948,
2338878,55.70858948,
2338909,55.70858948,
2338941,55.70858948,
2338972,55.70858948,
2339004,55.70858948,
2339035,55.70858948,
2339066,55.70858948,
2339098,55.70858948,
2339129,55.71086627,
2339161,55.70631268,
2339192,55.70858948,
2339497,55.71314306,
2339625,55.71541986,
2339657,55.71541986,
2339689,55.71769665,
2339720,55.71541986,
2339751,55.71541986,
2339783,55.71541986,
2339814,55.71541986,
2339846,55.71541986,
2339877,55.71541986,
2339909,55.71997344,
2339940,55.71769665,
2339971,55.71541986,
2340002,55.71997344,
2340033,55.71997344,
2340065,55.71997344,
2340096,55.71541986,
2340128,55.71769665,
2340159,55.71997344,
2340191,55.71997344,
2340344,55.71769665,
2340472,55.72225024,
2340504,55.72452703,
2340536,55.72225024,
2340567,55.72452703,
2340599,55.72225024,
2340630,55.72452703,
2340662,55.72452703,
2340693,55.72680383,
2340725,55.72908062,
2340756,55.72225024,
2340787,55.72680383,
2340819,55.72680383,
2340850,55.72908062,
2340882,55.72680383,
2340913,55.72680383,
2340945,55.72452703,
2340976,55.72680383,
2341008,55.72908062,
2341039,55.72908062,
2341242,55.72680383,
2341369,55.72908062,
2341401,55.72908062,
2341433,55.73135741,
2341465,55.72908062,
2341496,55.73363421,
2341528,55.73135741,
2341559,55.73135741,
2341590,55.73135741,
2341622,55.735911,
2341653,55.73135741,
2341685,55.73135741,
2341716,55.73363421,
2341748,55.73363421,
2341779,55.73363421,
2341810,55.735911,
2341842,55.73363421,
2341873,55.735911,
2341904,55.735911,
2341936,55.735911,
2342171,55.73818779,
2342298,55.735911,
2342330,55.73818779,
2342362,55.73818779,
2342393,55.73818779,
2342424,55.74046459,
2342456,55.74046459,
2342487,55.73818779,
2342519,55.74046459,
2342550,55.74274138,
2342582,55.74274138,
2342613,55.74274138,
2342645,55.73818779,
2342676,55.74046459,
2342707,55.74046459,
2342738,55.74501818,
2342770,55.74501818,
2342801,55.74046459,
2342833,55.74274138,
2342864,55.74046459,
2343015,55.74274138,
2343146,55.74501818,
2343178,55.74729497,
2343210,55.74501818,
2343241,55.74501818,
2343273,55.74729497,
2343304,55.74501818,
2343335,55.74729497,
2343367,55.74729497,
2343398,55.74729497,
2343430,55.74957176,
