counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
4021091,865,32776,43954,43869,32778,32780,32782,52900,288
4021092,866,32776,43911,43879,32776,32782,32781,52902,287
4021093,866,32777,43938,43859,32778,32781,32784,52897,290
4021094,866,32776,43941,43849,32779,32783,32783,52901,289
4021095,877,32778,43924,43829,32775,32779,32783,52908,285
4021096,863,32778,43906,43874,32776,32783,32782,52902,290
4021097,866,32776,43944,43844,32780,32781,32784,52897,283
4021098,867,32776,43923,43869,32778,32781,32782,52903,283
4021099,862,32777,43883,43872,32778,32782,32781,52900,299
4021100,865,32775,43936,43857,32779,32782,32782,52894,289
4021101,864,32773,43925,43900,32779,32781,32784,52902,288
4021102,867,32776,43886,43848,32779,32781,32783,52903,291
4021103,866,32776,43935,43901,32778,32781,32784,52906,287
4021104,865,32777,43932,43826,32779,32782,32783,52903,289
4021105,866,32777,43888,43888,32779,32780,32784,52892,292
4021106,862,32777,43909,43814,32778,32781,32783,52899,283
4021107,866,32776,43937,43890,32779,32783,32782,52900,285
4021108,942,32775,43921,43835,32779,32781,32781,52897,275
4021109,866,32778,43938,43895,32777,32782,32782,52902,287
4021110,866,32775,43937,43815,32780,32782,32783,52894,284
4021111,865,32777,43924,43904,32779,32782,32781,52900,287
4021112,866,32775,43929,43851,32779,32780,32781,52901,288
4021113,866,32776,43960,43905,32780,32779,32783,52901,289
4021114,867,32775,43920,43833,32777,32781,32782,52904,285
4021115,865,32776,43897,43872,32779,32781,32784,52902,287
4021116,864,32776,43960,43866,32778,32782,32783,52900,287
4021117,866,32776,43928,43884,32779,32782,32783,52902,287
4021118,865,32775,43895,43878,32780,32780,32783,52900,289
4021119,866,32776,43947,43878,32778,32781,32781,52903,288
4021120,867,32776,43930,43867,32778,32780,32783,52897,289
4021121,866,32776,43890,43857,32777,32780,32782,52902,291
4021122,867,32776,43941,43890,32779,32781,32783,52897,287
4021123,866,32776,43952,43871,32779,32783,32781,52900,287
4021124,866,32774,43919,43902,32780,32780,32782,52902,289
4021125,866,32776,43919,43868,32779,32780,32782,52900,289
4021126,868,32777,43929,43879,32777,32781,32784,52897,293
4021127,866,32777,43920,43851,32778,32781,32783,52896,286
