counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
54227,866,32776,32553,33379,32779,32780,32783,55897,288
54228,865,32776,32532,33374,32780,32781,32783,55897,289
54229,866,32776,32567,33404,32779,32781,32782,55897,288
54230,865,32776,32584,33381,32779,32781,32783,55897,288
54231,866,32777,32570,33340,32778,32780,32782,55899,287
54232,866,32775,32569,33415,32778,32782,32781,55898,288
54233,871,32776,32563,33394,32779,32781,32782,55898,287
54234,866,32776,32567,33358,32779,32781,32783,55898,288
54235,862,32776,32554,33420,32780,32780,32782,55898,288
54236,866,32775,32529,33404,32779,32780,32783,55899,288
54237,866,32776,32543,33368,32779,32781,32782,55897,287
54238,866,32776,32570,33377,32779,32781,32783,55897,289
54239,866,32776,32563,33405,32779,32781,32782,55896,289
54240,866,32776,32565,33383,32778,32782,32783,55898,288
54241,867,32776,32549,33342,32779,32781,32783,55898,288
54242,866,32775,32563,33413,32779,32781,32782,55899,289
54243,866,32776,32561,33396,32777,32781,32782,55899,288
54244,865,32777,32557,33363,32778,32780,32783,55898,287
54245,866,32775,32532,33421,32778,32781,32783,55898,288
54246,866,32776,32540,33410,32779,32781,32781,55898,288
54247,862,32776,32574,33378,32779,32781,32782,55898,288
54248,870,32775,32581,33379,32778,32782,32782,55897,287
54249,866,32775,32577,33412,32778,32781,32781,55897,289
54250,865,32775,32571,33381,32779,32781,32783,55897,288
54251,866,32776,32577,33344,32779,32781,32783,55898,289
54252,866,32775,32564,33419,32778,32782,32782,55897,289
54253,862,32777,32548,33390,32779,32781,32783,55901,287
54254,866,32776,32529,33353,32778,32781,32783,55898,288
54255,866,32777,32584,33425,32778,32781,32783,55892,287
54256,869,32777,32568,33384,32779,32781,32782,55897,287
54257,865,32776,32571,33360,32779,32781,32783,55896,289
54258,866,32776,32563,33411,32778,32782,32783,55897,287
54259,864,32776,32554,33381,32779,32780,32783,55898,288
54260,866,32776,32531,33339,32778,32781,32783,55899,287
54261,866,32776,32584,33410,32779,32781,32783,55897,285
54262,870,32775,32576,33376,32778,32781,32783,55898,289
54263,870,32776,32568,33419,32779,32781,32783,55898,286
54264,866,32777,32556,33391,32779,32781,32783,55897,287
