date,time,time_passed_since_start,Current Out 1,Current Out 2,Current In 1,Current In 2,Voltage,Lost Data
2026-02-25,14:23:52.596663,0,-0.142499995,1.076249981,2.78625,1.080000019,57.16575,0
2026-02-25,14:23:52.596663,1089,-0.086249995,1.083749962,2.846249962,1.091250038,57.16125,0
2026-02-25,14:23:52.596663,2177,-0.108749998,1.091250038,2.823750114,1.125,57.16125,0
2026-02-25,14:23:52.596663,3264,-0.123749995,1.064999962,2.827500153,1.05375,57.159,0
2026-02-25,14:23:52.596663,4352,-0.108749998,1.083749962,2.83125,1.091250038,57.16575,0
2026-02-25,14:23:58.077472,5495,-0.138750005,1.094999981,2.790000153,1.113750076,57.16575,0
2026-02-25,14:23:58.077472,6582,-0.15,1.072499943,2.778750038,1.098750019,57.168,0
2026-02-25,14:23:58.077472,7670,-0.067500001,1.06875,2.820000076,1.057499981,57.1635,0
2026-02-25,14:23:58.077472,8757,-0.093750006,1.094999981,2.8125,1.117500019,57.1635,0
2026-02-25,14:23:58.077472,9845,-0.15,1.083749962,2.797499847,1.0875,57.16575,0
2026-02-25,14:24:03.581755,10980,-0.101250005,1.0875,2.804999924,1.110000038,57.1635,0
2026-02-25,14:24:03.581755,12069,-0.12,1.064999962,2.78625,1.06875,57.16125,0
2026-02-25,14:24:03.581755,13156,-0.089999998,1.061250019,2.827500153,1.0425,57.1635,0
2026-02-25,14:24:03.581755,14243,-0.097500002,1.0875,2.820000076,1.110000038,57.1635,0
2026-02-25,14:24:03.581755,15332,-0.108749998,1.076249981,2.808749962,1.076249981,57.1635,0
2026-02-25,14:24:09.055314,16474,-0.123749995,1.06875,2.801249886,1.064999962,57.1635,0
2026-02-25,14:24:09.055314,17561,-0.12,1.072499943,2.8125,1.0425,57.1635,0
2026-02-25,14:24:09.055314,18648,-0.093750006,1.094999981,2.7675,1.121250057,57.16125,0
2026-02-25,14:24:09.055314,19735,-0.146249998,1.076249981,2.771249962,1.080000019,57.16125,0
2026-02-25,14:24:09.055314,20823,-0.1125,1.061250019,2.801249886,1.038750076,57.1635,0
2026-02-25,14:24:14.545088,21959,-0.123749995,1.06875,2.797499847,1.046250057,57.1635,0
2026-02-25,14:24:14.545088,23046,-0.13125,1.072499943,2.816250038,1.05375,57.16575,0
2026-02-25,14:24:14.545088,24135,-0.142499995,1.091250038,2.763749886,1.121250057,57.16125,0
2026-02-25,14:24:14.545088,25222,-0.116250002,1.057499981,2.801249886,1.035000038,57.1635,0
