date,time,time_passed_since_start,Volt Reading 1,Current Out 1,Volt Reading 2,Current Out 2,Volt Reading 3,Current In 1,Volt Reading 4,Current In 2,Voltage,Lost Data
2026-02-25,16:35:49.418887,240470,0,0,0,0,0,0,0,0,57.70332,0
2026-02-25,16:35:49.418887,241548,0,0,0,0,0,0,0,0,57.71241,0
2026-02-25,16:35:49.418887,242626,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:35:49.418887,243703,0,0,0,0,0,0,0,0,57.70332,0
2026-02-25,16:35:49.418887,244783,0,0,0,0,0,0,0,0,57.70332,0
2026-02-25,16:35:49.418887,246172,0,0,0,0,0,0,0,0,57.71468,0
2026-02-25,16:35:49.418887,247252,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:35:49.418887,248329,0,0,0,0,0,0,0,0,57.71241,0
2026-02-25,16:35:49.418887,249407,0,0,0,0,0,0,0,0,57.71241,0
2026-02-25,16:35:49.418887,250485,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:35:54.998536,251671,0,0,0,0,0,0,0,0,57.70786,0
2026-02-25,16:35:54.998536,252750,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:35:54.998536,253828,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:35:54.998536,254905,0,0,0,0,0,0,0,0,57.70786,0
2026-02-25,16:35:54.998536,255983,0,0,0,0,0,0,0,0,57.71241,0
2026-02-25,16:36:00.477810,257228,0,0,0,0,0,0,0,0,57.71241,0
2026-02-25,16:36:00.477810,258307,0,0,0,0,0,0,0,0,57.70786,0
2026-02-25,16:36:00.477810,259385,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:36:00.477810,260463,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:36:00.477810,261541,0,0,0,0,0,0,0,0,57.70786,0
2026-02-25,16:36:06.003138,262725,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:36:06.003138,263804,0,0,0,0,0,0,0,0,57.71241,0
2026-02-25,16:36:06.003138,264881,0,0,0,0,0,0,0,0,57.70786,0
2026-02-25,16:36:06.003138,265959,0,0,0,0,0,0,0,0,57.70559,0
2026-02-25,16:36:06.003138,267037,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:36:12.028507,268227,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:36:12.028507,269305,0,0,0,0,0,0,0,0,57.70332,0
2026-02-25,16:36:12.028507,270384,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:36:12.028507,271462,0,0,0,0,0,0,0,0,57.70786,0
2026-02-25,16:36:12.028507,272539,0,0,0,0,0,0,0,0,57.70332,0
2026-02-25,16:36:17.574402,274255,0,0,0,0,0,0,0,0,57.70559,0
2026-02-25,16:36:17.574402,275333,0,0,0,0,0,0,0,0,57.70559,0
2026-02-25,16:36:17.574402,276411,0,0,0,0,0,0,0,0,57.70786,0
2026-02-25,16:36:17.574402,277489,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:36:17.574402,278568,0,0,0,0,0,0,0,0,57.70786,0
2026-02-25,16:36:23.499000,279796,0,0,0,0,0,0,0,0,57.70559,0
2026-02-25,16:36:23.499000,280873,0,0,0,0,0,0,0,0,57.70786,0
2026-02-25,16:36:23.499000,281951,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:36:23.499000,283029,0,0,0,0,0,0,0,0,57.70559,0
2026-02-25,16:36:23.499000,284108,0,0,0,0,0,0,0,0,57.70786,0
2026-02-25,16:36:29.248507,285720,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:36:29.248507,286798,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:36:29.248507,287875,0,0,0,0,0,0,0,0,57.71241,0
2026-02-25,16:36:29.248507,288953,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:36:29.248507,290032,0,0,0,0,0,0,0,0,57.71014,0
2026-02-25,16:36:34.699562,291467,0,0,0,0,0,0,0,0,57.71241,0
2026-02-25,16:36:34.699562,292545,0,0,0,0,0,0,0,0,57.71468,0
