2026-02-25,13:56:14.125544,2002898,-36,287,805,290,60.00514,0
2026-02-25,13:56:14.125544,2003986,-23,284,813,280,60.00514,0
2026-02-25,13:56:14.125544,2005073,-34,290,821,298,60.00278,0
2026-02-25,13:56:14.125544,2006160,-38,288,815,293,60.00278,0
2026-02-25,13:56:14.125544,2007249,-29,282,815,277,60.00514,0
2026-02-25,13:56:19.632889,2008384,-29,288,812,288,60.00514,0
2026-02-25,13:56:19.632889,2009473,-30,284,819,279,60.00514,0
2026-02-25,13:56:19.632889,2010560,-32,290,804,298,60.00514,0
2026-02-25,13:56:19.632889,2011647,-30,287,809,289,60.00278,0
2026-02-25,13:56:19.632889,2012735,-26,288,820,285,60.00514,0
2026-02-25,13:56:25.133832,2013882,-36,293,821,298,60.00278,0
2026-02-25,13:56:25.133832,2014969,-37,288,806,291,60.00278,0
2026-02-25,13:56:25.133832,2016058,-33,285,810,279,60.00278,0
2026-02-25,13:56:25.133832,2017145,-41,290,812,298,60.00041,0
2026-02-25,13:56:25.133832,2018232,-29,290,809,292,59.99569,0
2026-02-25,13:56:30.623470,2019407,48,293,810,299,59.97206,0
2026-02-25,13:56:30.623470,2020492,44,290,797,300,59.92481,0
2026-02-25,13:56:30.623470,2021579,49,288,802,285,60.01932,0
2026-02-25,13:56:30.623470,2022664,118,289,811,282,59.95316,0
2026-02-25,13:56:30.623470,2023750,70,291,811,295,59.83031,0
2026-02-25,13:56:36.121277,2024884,25,286,813,279,59.8752,0
2026-02-25,13:56:36.121277,2025969,134,289,814,280,59.90591,0
2026-02-25,13:56:36.121277,2027055,180,296,802,303,59.91536,0
2026-02-25,13:56:36.121277,2028143,-29,290,809,296,59.77125,0
2026-02-25,13:56:36.121277,2029230,131,287,808,279,59.87993,0
2026-02-25,13:56:41.636469,2030371,111,288,818,280,59.85157,0
2026-02-25,13:56:41.636469,2031457,62,294,813,298,59.83976,0
2026-02-25,13:56:41.636469,2032543,-25,291,806,298,60.00514,0
2026-02-25,13:56:41.636469,2033630,-29,283,812,280,60.00278,0
2026-02-25,13:56:41.636469,2034717,-27,286,818,283,60.00514,0
2026-02-25,13:56:47.115214,2035891,-31,284,805,281,60.00041,0
2026-02-25,13:56:47.115214,2036979,-30,287,807,280,60.00278,0
2026-02-25,13:56:47.115214,2038066,-35,290,811,300,60.00041,0
2026-02-25,13:56:47.115214,2039153,-35,289,796,292,60.0075,0
2026-02-25,13:56:47.115214,2040240,-24,283,817,278,60.00278,0
2026-02-25,13:56:52.621222,2041375,-39,285,805,285,60.00514,0
2026-02-25,13:56:52.621222,2042464,-36,284,818,283,60.00278,0
2026-02-25,13:56:52.621222,2043551,-37,291,802,301,60.00278,0
2026-02-25,13:56:52.621222,2044638,-41,284,813,285,60.00041,0
2026-02-25,13:56:52.621222,2045727,-28,287,818,284,60.00278,0
2026-02-25,13:56:58.113920,2046871,-29,291,810,297,60.00278,0
2026-02-25,13:56:58.113920,2047959,-40,291,815,297,60.00514,0
2026-02-25,13:56:58.113920,2049046,-35,282,816,278,60.00278,0
2026-02-25,13:56:58.113920,2050133,-24,291,819,296,60.00278,0
2026-02-25,13:56:58.113920,2051220,-35,288,792,295,60.00278,0
2026-02-25,13:57:03.583561,2052364,-34,286,817,285,60.00514,0
2026-02-25,13:57:03.583561,2053451,-35,284,820,278,60.00514,0
2026-02-25,13:57:03.583561,2054540,-28,292,815,300,59.99805,0
2026-02-25,13:57:03.583561,2055627,-37,284,810,285,60.00278,0
