counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
117,939,43337,22146,32761,32763,32764,32766,54106,0
118,938,43359,22112,32761,32762,32764,32766,54107,0
119,938,43379,22174,32760,32763,32765,32767,54109,1
120,939,43320,22163,32760,32762,32764,32767,54110,1
121,939,43352,22146,32761,32763,32765,32766,54107,0
122,941,43349,22105,32760,32762,32765,32767,54107,1
123,938,43320,22146,32761,32763,32765,32767,54108,0
124,939,43375,22161,32760,32763,32764,32767,54107,0
125,938,43346,22124,32759,32762,32764,32767,54107,0
126,942,43356,22104,32759,32762,32765,32766,54107,0
127,939,43385,22153,32760,32763,32764,32767,54107,0
128,938,43323,22159,32761,32763,32765,32766,54105,0
129,938,43363,22135,32760,32763,32764,32765,54107,0
130,938,43366,22132,32760,32762,32764,32766,54106,1
131,942,43313,22122,32760,32762,32765,32766,54107,0
132,938,43375,22145,32760,32762,32765,32767,54106,0
133,938,43359,22150,32760,32762,32764,32767,54107,0
134,939,43354,22104,32760,32763,32764,32767,54107,0
135,938,43379,22145,32760,32763,32765,32766,54106,0
136,942,43311,22155,32760,32762,32764,32767,54107,0
137,938,43379,22139,32761,32762,32764,32766,54108,0
138,939,43380,22108,32760,32762,32764,32765,54107,0
139,938,43315,22112,32760,32762,32764,32766,54106,0
140,938,43379,22162,32761,32762,32764,32767,54107,1
141,943,43332,22153,32760,32761,32764,32766,54107,2
142,938,43332,22106,32760,32763,32764,32766,54107,0
143,938,43385,22128,32760,32763,32764,32766,54106,0
144,939,43325,22158,32760,32762,32763,32766,54107,0
145,938,43375,22144,32759,32762,32764,32767,54107,0
146,942,43375,22133,32761,32763,32764,32766,54106,1
147,943,43312,22115,32760,32762,32764,32767,54106,0
148,943,43371,22149,32759,32763,32764,32766,54106,0
149,938,43374,22166,32760,32761,32764,32767,54107,0
150,939,43317,22148,32760,32763,32764,32766,54107,0
151,942,43348,22118,32760,32763,32764,32767,54107,0
152,938,43357,22154,32760,32762,32765,32767,54106,1
153,939,43339,22155,32760,32763,32764,32768,54107,1
154,938,43360,22143,32759,32763,32764,32766,54106,0
155,938,43323,22113,32759,32763,32764,32767,54106,0
156,943,43356,22129,32759,32763,32764,32767,54107,0
157,938,43356,22150,32760,32763,32764,32767,54107,0
158,938,43324,22146,32760,32763,32765,32767,54104,0
159,938,43362,22110,32759,32762,32764,32767,54105,0
160,939,43350,22126,32760,32763,32765,32767,54107,0
161,941,43337,22153,32760,32763,32765,32766,54107,0
162,939,43358,22164,32759,32763,32765,32767,54107,0
163,938,43328,22118,32761,32764,32764,32767,54106,0
164,938,43346,22116,32760,32762,32764,32767,54106,1
165,938,43363,22156,32760,32763,32764,32767,54107,0
166,942,43317,22154,32760,32763,32765,32766,54107,1
167,939,43376,22140,32760,32763,32765,32766,54105,1
168,938,43366,22124,32760,32763,32765,32767,54107,0
169,938,43339,22151,32760,32762,32765,32767,54107,0
170,938,43370,22164,32760,32762,32764,32767,54106,1
171,943,43334,22135,32760,32763,32764,32766,54107,1
172,938,43356,22121,32759,32763,32765,32767,54106,3
173,938,43362,22139,32759,32763,32765,32767,54105,0
174,939,43317,22147,32759,32763,32765,32767,54108,0
175,938,43364,22128,32760,32764,32765,32765,54107,0
176,942,43365,22120,32760,32762,32765,32767,54107,0
177,939,43334,22141,32760,32763,32765,32765,54107,0
178,938,43377,22150,32760,32762,32765,32767,54107,0
179,938,43347,22152,32761,32762,32764,32766,54106,0
180,943,43361,22111,32759,32763,32764,32766,54106,0
181,942,43374,22130,32760,32763,32765,32767,54107,0
182,938,43327,22145,32760,32762,32765,32766,54107,0
183,939,43380,22151,32760,32763,32764,32766,54106,0
184,938,43342,22121,32760,32762,32765,32766,54107,0
185,938,43337,22113,32760,32763,32765,32766,54106,0
186,942,43385,22153,32759,32762,32764,32766,54107,1
187,938,43358,22155,32759,32762,32763,32766,54105,0
188,939,43340,22131,32761,32763,32764,32767,54107,0
189,938,43379,22133,32760,32763,32763,32766,54107,0
190,938,43325,22147,32760,32762,32765,32767,54107,0
191,943,43384,22148,32760,32763,32764,32767,54108,0
192,938,43368,22151,32760,32763,32765,32767,54107,0
193,938,43322,22106,32760,32762,32764,32766,54106,0
194,938,43384,22158,32759,32762,32764,32767,54107,0
195,939,43363,22167,32760,32762,32764,32766,54107,2
196,942,43321,22131,32760,32763,32764,32767,54107,0
197,938,43350,22104,32760,32762,32764,32766,54106,0
198,938,43334,22141,32760,32762,32765,32767,54108,0
199,938,43357,22151,32760,32763,32765,32767,54105,0
200,939,43371,22142,32761,32764,32764,32767,54106,0
201,942,43315,22120,32760,32763,32764,32766,54107,0
202,938,43382,22146,32760,32763,32763,32766,54107,1
203,939,43355,22155,32760,32763,32765,32767,54106,1
204,938,43339,22121,32760,32763,32764,32767,54107,0
205,938,43382,22118,32760,32762,32765,32767,54107,0
206,943,43349,22143,32760,32762,32764,32767,54106,0
207,938,43379,22162,32759,32763,32765,32766,54106,0
208,938,43376,22130,32761,32762,32765,32766,54107,0
209,938,43332,22100,32760,32764,32765,32766,54107,0
210,939,43381,22141,32760,32763,32765,32767,54108,0
211,941,43380,22158,32760,32763,32765,32766,54107,0
212,939,43337,22139,32760,32762,32765,32766,54107,1
213,948,43377,22136,32760,32762,32765,32767,54106,0
214,938,43349,22116,32760,32764,32764,32766,54106,0
215,938,43337,22145,32760,32763,32765,32767,54106,0
216,943,43395,22147,32761,32763,32763,32766,54107,0
217,938,43353,22132,32760,32762,32765,32767,54107,0
218,938,43352,22098,32761,32762,32764,32767,54106,0
219,938,43374,22147,32760,32763,32765,32767,54107,0
220,939,43337,22139,32759,32762,32764,32766,54107,0
221,942,43367,22156,32760,32763,32765,32766,54106,0
222,938,43368,22112,32761,32763,32765,32767,54106,0
223,939,43318,22119,32760,32763,32764,32766,54107,0
224,938,43378,22153,32761,32763,32765,32767,54108,0
225,938,43332,22152,32760,32762,32765,32766,54109,0
