counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
64987,865,35624,32704,35529,32765,32782,32782,31085,28177
64988,865,35618,32680,35531,32736,32783,32783,31083,28177
64989,867,35628,32668,35475,32761,32782,32782,31084,28179
64990,866,35625,32654,35557,32793,32781,32783,31086,28179
64991,866,35620,32694,35553,32719,32783,32783,31087,28179
64992,866,35596,32717,35481,32786,32782,32783,31086,28181
64993,866,35576,32701,35538,32699,32782,32784,31085,28178
64994,865,35578,32694,35523,32761,32782,32783,31084,28177
64995,866,35588,32691,35488,32721,32782,32783,31085,28178
64996,866,35600,32668,35574,32763,32781,32782,31086,28178
64997,866,35614,32707,35535,32749,32781,32782,31085,28181
64998,866,35625,32717,35475,32736,32783,32783,31086,28179
64999,869,35611,32698,35536,32781,32782,32782,31084,28176
65000,866,35609,32699,35518,32712,32782,32783,31085,28177
65001,871,35614,32712,35478,32801,32783,32783,31084,28178
65002,866,35632,32688,35531,32716,32782,32781,31086,28179
65003,866,35627,32665,35547,32801,32782,32782,31087,28180
65004,865,35606,32687,35471,32718,32782,32783,31086,28180
65005,869,35590,32694,35498,32770,32783,32783,31085,28177
65006,865,35572,32713,35532,32716,32783,32782,31084,28176
65007,868,35595,32731,35484,32774,32781,32784,31085,28177
65008,866,35607,32703,35510,32771,32782,32784,31085,28179
65009,865,35612,32691,35551,32738,32783,32781,31085,28180
65010,866,35630,32670,35509,32796,32781,32783,31087,28179
65011,865,35591,32695,35504,32705,32782,32783,31085,28177
65012,866,35605,32692,35537,32760,32782,32783,31084,28178
65013,867,35627,32725,35499,32701,32782,32782,31084,28178
65014,866,35640,32726,35496,32768,32782,32783,31086,28180
65015,866,35621,32692,35534,32732,32782,32784,31086,28179
65016,871,35613,32679,35486,32772,32782,32782,31086,28179
65017,865,35599,32659,35462,32747,32783,32782,31085,28177
65018,866,35586,32688,35525,32740,32782,32783,31083,28176
65019,866,35574,32721,35481,32791,32781,32783,31083,28178
65020,866,35576,32726,35485,32736,32782,32783,31085,28180
65021,866,35593,32726,35540,32799,32783,32783,31086,28179
65022,866,35596,32682,35491,32717,32782,32783,31087,28179
65023,869,35594,32641,35458,32771,32784,32783,31085,28177
65024,865,35588,32645,35515,32704,32782,32782,31085,28176
65025,866,35605,32704,35485,32787,32783,32782,31085,28178
65026,866,35624,32718,35474,32763,32783,32782,31086,28181
65027,866,35608,32721,35544,32759,32783,32783,31087,28179
65028,866,35622,32719,35484,32793,32783,32782,31086,28179
65029,868,35599,32674,35457,32721,32783,32783,31084,28177
65030,866,35604,32659,35536,32791,32782,32784,31084,28178
65031,871,35601,32663,35516,32738,32781,32783,31084,28178
65032,865,35572,32713,35468,32807,32781,32782,31085,28181
65033,866,35571,32726,35534,32729,32783,32782,31088,28180
65034,866,35574,32722,35500,32785,32785,32783,31087,28180
65035,865,35566,32678,35458,32728,32783,32783,31084,28176
65036,866,35578,32674,35534,32760,32782,32782,31083,28176
65037,869,35602,32673,35504,32771,32782,32783,31084,28179
65038,866,35607,32678,35466,32759,32782,32782,31085,28180
65039,865,35613,32711,35543,32807,32781,32783,31084,28181
65040,866,35621,32738,35523,32722,32783,32783,31085,28181
65041,866,35603,32698,35447,32788,32782,32783,31085,28178
65042,865,35598,32683,35539,32701,32782,32784,31081,28176
65043,866,35620,32678,35511,32787,32782,32782,31082,28180
65044,866,35607,32662,35468,32741,32782,32783,31085,28180
65045,866,35594,32693,35555,32774,32781,32784,31085,28179
65046,872,35596,32712,35522,32756,32783,32782,31085,28180
65047,868,35566,32711,35440,32753,32782,32783,31083,28177
65048,866,35569,32700,35533,32777,32783,32782,31085,28176
65049,866,35578,32722,35514,32749,32782,32782,31085,28178
65050,866,35626,32689,35454,32809,32782,32781,31087,28179
65051,866,35619,32674,35541,32738,32783,32783,31085,28179
65052,866,35621,32688,35514,32785,32782,32782,31087,28179
65053,868,35609,32688,35444,32702,32782,32783,31084,28177
65054,865,35610,32704,35532,32770,32782,32783,31083,28177
65055,866,35610,32723,35521,32746,32782,32783,31083,28179
65056,866,35618,32703,35452,32758,32783,32783,31086,28181
65057,866,35625,32670,35553,32800,32781,32782,31086,28180
65058,865,35611,32662,35523,32746,32783,32784,31086,28180
65059,866,35573,32700,35451,32797,32782,32783,31085,28176
65060,866,35584,32705,35545,32713,32782,32783,31083,28176
65061,872,35587,32712,35536,32794,32781,32784,31084,28179
65062,866,35585,32713,35466,32721,32781,32782,31086,28180
