counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
40081,866,37630,33481,32037,37620,32781,32782,30828,28761
40082,866,37632,33482,31980,37588,32781,32784,30827,28760
40083,870,37670,33505,31982,37655,32781,32782,30829,28762
40084,866,37678,33485,32031,37601,32781,32782,30829,28764
40085,866,37647,33486,32063,37669,32782,32783,30831,28764
40086,866,37617,33443,32040,37613,32781,32782,30830,28764
40087,867,37611,33443,31980,37649,32781,32784,30826,28763
40088,866,37639,33451,31993,37579,32783,32781,30827,28761
40089,870,37673,33497,32076,37657,32780,32783,30829,28762
40090,866,37671,33503,32056,37587,32781,32782,30829,28764
40091,866,37651,33503,32014,37648,32781,32781,30829,28764
40092,865,37642,33503,31983,37592,32781,32782,30831,28764
40093,868,37608,33474,32038,37652,32781,32783,30828,28763
40094,866,37626,33468,32049,37579,32780,32784,30827,28763
40095,870,37656,33481,32048,37640,32782,32781,30829,28762
40096,865,37660,33469,32000,37589,32781,32783,30829,28765
40097,866,37680,33475,31994,37657,32781,32780,30831,28765
40098,866,37650,33484,32077,37582,32781,32782,30829,28764
40099,868,37608,33500,32045,37656,32781,32782,30828,28763
40100,865,37599,33498,32006,37567,32783,32782,30828,28760
40101,871,37645,33517,31989,37662,32781,32783,30828,28764
40102,866,37666,33496,32027,37580,32781,32783,30830,28764
40103,865,37661,33498,32063,37656,32782,32783,30831,28763
40104,866,37676,33492,32036,37588,32782,32781,30830,28764
40105,866,37617,33469,31963,37633,32781,32782,30827,28764
40106,865,37599,33423,31982,37563,32781,32781,30828,28762
40107,869,37637,33463,32066,37653,32781,32782,30827,28762
40108,865,37654,33495,32059,37564,32781,32783,30830,28763
40109,866,37639,33514,32009,37641,32781,32782,30829,28762
40110,866,37641,33519,31985,37577,32781,32783,30831,28764
40111,867,37620,33489,32043,37623,32780,32782,30828,28762
40112,866,37582,33488,32043,37549,32781,32781,30828,28760
40113,870,37595,33500,32036,37656,32781,32782,30828,28762
40114,866,37633,33489,31983,37582,32781,32781,30829,28762
40115,865,37637,33459,32002,37645,32781,32782,30829,28764
40116,866,37640,33461,32072,37568,32782,32783,30830,28764
40117,868,37641,33468,32036,37637,32783,32783,30829,28760
40118,866,37626,33491,31990,37557,32782,32783,30828,28760
