counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
117,938,32702,32806,32760,32763,32764,32766,55914,0
118,938,32727,32805,32759,32763,32764,32767,55914,0
119,939,32756,32834,32759,32762,32764,32766,55914,0
120,938,32743,32826,32760,32762,32764,32766,55913,0
121,942,32703,32808,32759,32763,32764,32767,55917,0
122,939,32748,32803,32760,32763,32764,32767,55913,1
123,938,32758,32825,32759,32762,32765,32767,55914,1
124,938,32711,32831,32760,32762,32765,32767,55914,0
125,938,32749,32822,32760,32763,32764,32766,55915,0
126,943,32752,32816,32759,32763,32764,32766,55914,0
127,938,32724,32799,32761,32763,32764,32765,55913,0
128,938,32688,32822,32760,32763,32764,32767,55913,1
129,939,32760,32827,32760,32763,32764,32767,55913,0
130,938,32755,32814,32759,32763,32763,32767,55914,0
131,942,32711,32797,32760,32762,32764,32767,55914,0
132,938,32732,32815,32760,32762,32764,32767,55914,0
133,944,32751,32841,32759,32764,32765,32767,55913,4
134,943,32757,32833,32759,32763,32765,32767,55913,0
135,938,32702,32817,32759,32762,32765,32766,55914,0
136,943,32747,32799,32760,32762,32764,32766,55913,0
137,938,32759,32800,32760,32763,32764,32766,55914,0
138,938,32729,32847,32759,32762,32764,32766,55916,0
139,939,32713,32840,32759,32762,32764,32766,55914,0
140,938,32761,32817,32760,32762,32764,32766,55914,0
141,942,32747,32809,32759,32763,32764,32767,55914,0
142,939,32702,32826,32761,32763,32764,32765,55913,0
143,938,32744,32821,32760,32763,32764,32766,55914,0
144,938,32749,32845,32760,32762,32763,32766,55913,1
145,938,32739,32813,32759,32763,32765,32767,55914,0
146,943,32705,32790,32760,32764,32765,32767,55914,0
147,938,32764,32811,32760,32764,32764,32766,55914,1
148,938,32753,32831,32759,32763,32765,32766,55913,1
149,938,32704,32826,32760,32763,32764,32766,55915,0
150,938,32741,32799,32760,32763,32764,32766,55915,0
151,943,32754,32794,32760,32763,32765,32766,55913,0
152,938,32733,32831,32761,32762,32765,32766,55915,0
153,938,32706,32816,32760,32763,32765,32767,55914,0
154,938,32757,32831,32759,32763,32765,32766,55914,0
155,939,32743,32796,32760,32763,32764,32766,55914,0
156,942,32704,32793,32760,32763,32765,32765,55914,0
157,938,32756,32823,32760,32763,32765,32767,55915,0
158,939,32759,32832,32761,32763,32764,32766,55914,0
159,938,32725,32832,32760,32762,32764,32766,55913,0
160,938,32715,32795,32760,32763,32764,32765,55915,0
161,942,32747,32804,32759,32763,32763,32767,55916,1
162,938,32743,32840,32760,32762,32764,32766,55915,3
163,939,32704,32838,32760,32762,32764,32766,55913,0
164,938,32756,32799,32761,32763,32764,32766,55915,0
165,938,32761,32795,32759,32762,32765,32766,55915,0
166,948,32722,32831,32760,32763,32764,32767,55914,0
167,938,32713,32834,32760,32763,32764,32766,55913,0
168,938,32746,32832,32760,32763,32765,32766,55915,0
169,938,32747,32813,32759,32763,32765,32766,55914,0
170,939,32734,32798,32760,32763,32764,32767,55914,0
171,942,32728,32811,32760,32762,32764,32766,55914,0
172,938,32752,32845,32760,32763,32764,32767,55913,0
173,939,32752,32830,32760,32763,32764,32767,55915,0
174,938,32716,32804,32759,32763,32763,32767,55914,0
175,938,32751,32806,32759,32763,32764,32767,55915,1
176,943,32775,32832,32759,32763,32765,32766,55914,0
177,938,32727,32846,32759,32762,32764,32766,55914,1
178,938,32725,32817,32760,32763,32765,32765,55915,0
179,938,32746,32799,32760,32764,32764,32766,55914,0
180,939,32736,32809,32760,32763,32764,32766,55914,0
181,942,32708,32836,32759,32763,32765,32766,55915,1
182,944,32741,32814,32759,32763,32765,32768,55914,1
183,943,32744,32832,32760,32763,32764,32766,55914,1
184,938,32742,32804,32761,32763,32764,32767,55914,0
185,939,32685,32795,32760,32764,32764,32766,55915,0
186,942,32754,32825,32760,32763,32764,32766,55914,0
187,938,32749,32828,32760,32763,32764,32766,55915,0
188,938,32724,32814,32760,32763,32764,32766,55915,0
189,939,32735,32792,32760,32763,32764,32767,55913,0
190,938,32767,32814,32760,32764,32766,32767,55914,0
191,942,32754,32837,32761,32763,32764,32766,55914,0
192,939,32707,32830,32760,32763,32764,32766,55914,0
193,938,32765,32813,32759,32762,32764,32765,55913,0
194,938,32769,32801,32760,32763,32764,32766,55914,0
195,938,32727,32810,32760,32763,32763,32767,55914,0
196,943,32725,32819,32760,32762,32764,32767,55914,0
197,938,32760,32830,32760,32764,32764,32767,55913,1
198,938,32735,32811,32760,32764,32764,32766,55914,0
199,944,32692,32788,32759,32763,32765,32766,55914,0
200,938,32734,32792,32760,32764,32765,32765,55914,1
201,942,32747,32816,32760,32763,32764,32766,55913,1
202,939,32718,32837,32760,32763,32764,32766,55914,0
203,938,32690,32810,32760,32763,32764,32766,55913,1
204,938,32758,32798,32760,32763,32765,32766,55913,0
205,938,32745,32820,32760,32763,32765,32766,55913,0
206,943,32702,32835,32760,32763,32764,32766,55913,0
207,938,32738,32836,32761,32762,32764,32766,55914,0
208,938,32751,32815,32761,32763,32764,32766,55913,0
209,939,32731,32799,32760,32763,32763,32766,55913,0
210,938,32703,32801,32760,32763,32764,32766,55914,0
211,942,32757,32846,32759,32763,32764,32767,55914,0
212,938,32758,32845,32760,32763,32765,32766,55914,0
213,938,32708,32801,32760,32763,32763,32767,55915,0
214,938,32736,32806,32760,32764,32764,32766,55914,0
215,939,32747,32835,32760,32764,32765,32767,55913,0
216,941,32726,32829,32760,32763,32765,32766,55913,0
217,939,32711,32798,32759,32763,32765,32767,55915,1
218,938,32747,32799,32759,32763,32763,32766,55914,0
219,938,32741,32817,32759,32762,32764,32765,55914,0
220,939,32701,32842,32759,32763,32765,32765,55913,0
221,942,32736,32827,32761,32764,32765,32766,55914,0
222,938,32751,32812,32759,32762,32764,32767,55912,1
223,938,32738,32785,32759,32762,32765,32766,55914,0
224,939,32709,32827,32760,32762,32765,32767,55913,0
225,938,32749,32830,32760,32762,32765,32766,55914,0
226,942,32755,32825,32760,32763,32765,32766,55914,0
227,939,32707,32805,32760,32763,32765,32766,55915,0
228,938,32745,32787,32760,32763,32765,32766,55915,0
229,938,32741,32822,32760,32764,32764,32766,55915,0
230,938,32732,32823,32759,32764,32763,32767,55914,0
231,940,32698,32807,32759,32762,32765,32767,55915,0
232,947,32747,32802,32761,32763,32765,32767,55915,1
233,943,32761,32792,32758,32763,32765,32766,55914,0
234,938,32741,32828,32760,32762,32764,32765,55915,1
235,939,32732,32835,32760,32764,32764,32767,55916,0
236,942,32761,32821,32760,32762,32765,32767,55914,0
237,938,32752,32808,32761,32763,32764,32766,55915,0
238,939,32699,32775,32761,32763,32765,32766,55914,0
239,938,32744,32826,32759,32763,32764,32766,55914,0
240,938,32765,32837,32760,32763,32765,32766,55915,0
241,942,32727,32831,32761,32763,32765,32766,55915,1
242,938,32701,32778,32760,32762,32764,32767,55914,0
243,939,32741,32803,32760,32762,32763,32767,55915,1
244,938,32755,32823,32760,32763,32763,32765,55913,0
245,938,32694,32833,32759,32763,32764,32767,55914,0
246,943,32734,32803,32759,32764,32765,32766,55912,1
247,938,32755,32793,32759,32763,32764,32766,55915,0
248,938,32736,32823,32759,32763,32765,32767,55913,0
249,938,32717,32828,32759,32762,32764,32766,55914,0
250,938,32754,32833,32761,32764,32764,32765,55914,1
251,942,32752,32829,32760,32763,32765,32766,55913,0
252,939,32703,32806,32760,32763,32764,32767,55914,1
253,938,32741,32823,32760,32762,32765,32766,55914,0
254,938,32759,32832,32760,32763,32764,32767,55914,0
255,939,32742,32834,32760,32763,32764,32766,55914,1
256,942,32688,32810,32760,32764,32763,32767,55914,0
257,938,32747,32803,32759,32762,32765,32767,55914,0
258,938,32749,32839,32759,32761,32765,32766,55914,0
259,939,32704,32821,32760,32763,32764,32765,55914,0
260,938,32736,32822,32760,32763,32765,32766,55914,0
261,942,32748,32791,32760,32763,32764,32767,55913,0
262,939,32735,32797,32759,32763,32764,32766,55914,1
