counter,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
11441,866,34717,32777,30769,32778,32781,32783,55661,285
11442,865,34652,32776,30757,32779,32781,32783,55666,287
11443,868,34689,32777,30705,32778,32783,32782,55670,286
11444,865,34699,32776,30764,32777,32782,32782,55659,283
11445,910,34685,32775,30752,32777,32782,32782,55656,288
11446,867,34711,32776,30745,32779,32782,32782,55663,291
11447,866,34655,32776,30763,32780,32781,32783,55657,281
11448,868,34696,32775,30779,32777,32782,32782,55677,291
11449,864,34684,32776,30720,32778,32782,32784,55663,291
11450,865,34659,32776,30724,32778,32781,32784,55662,287
11451,869,34700,32776,30770,32778,32784,32784,55667,291
11452,866,34702,32776,30790,32776,32783,32782,55668,282
11453,919,34683,32776,30829,32777,32781,32783,55657,286
11454,862,34684,32775,30785,32778,32782,32783,55663,280
11455,864,34726,32777,30714,32777,32783,32782,55667,283
11456,869,34726,32776,30716,32779,32782,32784,55675,283
11457,872,34664,32776,30743,32778,32781,32783,55664,295
11458,908,34742,32776,30746,32778,32782,32782,55653,286
11459,862,34680,32775,30728,32776,32782,32783,55671,289
11460,866,34747,32776,30762,32776,32783,32785,55660,283
11461,870,34706,32774,30743,32778,32782,32783,55677,283
11462,866,34681,32774,30675,32778,32783,32783,55670,295
11463,866,34713,32776,30715,32778,32782,32782,55666,283
11464,865,34697,32776,30778,32779,32782,32783,55671,299
11465,872,34694,32775,30781,32778,32782,32782,55662,281
11466,915,34765,32775,30799,32776,32783,32782,55660,287
11467,865,34705,32776,30768,32776,32782,32783,55663,281
11468,865,34720,32776,30691,32777,32782,32784,55668,293
11469,864,34659,32776,30718,32778,32782,32784,55679,291
11470,866,34712,32777,30750,32777,32781,32784,55661,287
11471,866,34729,32775,30769,32776,32782,32784,55647,286
11472,864,34680,32776,30740,32776,32782,32783,55669,283
11473,866,34720,32776,30699,32777,32783,32784,55660,285
11474,929,34740,32777,30738,32776,32782,32786,55680,283
11475,866,34702,32776,30732,32777,32783,32783,55669,289
11476,866,34684,32776,30766,32778,32782,32784,55659,283
11477,862,34718,32775,30774,32776,32782,32781,55675,293
11478,866,34718,32776,30744,32777,32782,32783,55662,285
